episode,scene,texts,gold_standard
Episode 508: The One With The Thanksgiving Flashbacks," Monica and Rachel's, continued from earlier.","[['Monica', ""Umm, I-I really don't want to tell this story.""], ['Chandler', ""Oh, come on Monica, reliving past pain and getting depressed is what\nThanksgiving is all about. Y'know, for me anyway. And of course, the Indians.""], ['Monica', 'Look umm, of all people, you do not want me to tell this story!']]",0
Episode 508: The One With The Thanksgiving Flashbacks," Monica and Rachel's, back to the present day.","[['Chandler', ""I called you fat?! I don't even remember that!""], ['Monica', 'Well, I do.'], ['Chandler', 'I am so sorry. I really am. I was an idiot back then. I rushed the\nstage at a Wham concert for crying out loud!']]",0
Episode 508: The One With The Thanksgiving Flashbacks," The Geller household kitchen, Mrs. Geller is cooking and Rachel, post nose job,
is helping her.","[['Monica', 'Hi, Chandler.'], ['Chandler', 'Oh my God!'], ['Monica', ""What-what's the matter? Is there, is there something on my dress? (She\nturns around making sure he gets a good look.)""], ['Chandler', 'You just, you look so different! Terrific! That dress! That body!']]",1
Episode 508: The One With The Thanksgiving Flashbacks," The hospital, Chandler has been rushed to the emergency room.","[['Chandler', 'Monica, I was wondering if you can make me some of that righteous mac\nand cheese like last year.'], ['Monica', ""Umm, I'd love too! (She goes over and picks up the box and decides to\nfollow Rachel's advice and holds the box up to her cheek.) Ooh, I love macaroni and\ncheese. I love-I love the way this box feels against my cheek.""], ['Chandler', 'Okay.'], ['Monica', ""Boy, I love carrots! Oh! (She picks up a bunch of them and holds them\nbetween her fingers.) Sometimes I like to put them between my fingers like this and-and\nhold them down here while I talk to you. (She is rubbing her hip with the carrots.) Umm,\nand-and-and y'know if I get really hot umm, I-I like to pick up this knife (She picks up a\nknife without putting the box down. She's holding the box between her cheek and shoulder)\nand-and umm, I-I put the cold steal against umm, (Pause) my body. (She doesn't have any\nexposed skin within reach of the knife, so while holding the carrots in one hand and the\nbox between her face and shoulder, she rubs the knife on her stomach.)""], ['Chandler', 'Are you all right?'], ['Monica', ""Oh yeah, of course. I'm fine it's just that—(She drops the box and\nin a reflex action tries to catch it with her arm, the knife slips out and slowly flips\nthrough the air and comes point first down into Chandler's shoe.)""]]",0
Episode 508: The One With The Thanksgiving Flashbacks," The hospital, Chandler has been rushed to the emergency room.","[['Chandler', 'Without my toe?! I need my toe!'], ['Monica', 'Wait, no-no-no, I can go really fast! Dad, give me the keys to your Porsche!']]",0
Episode 508: The One With The Thanksgiving Flashbacks," Monica and Rachel's, Chandler is reacting to the story.","[['Chandler', ""That's why I lost my toe?! Because I called you fat?!""], ['Monica', ""I didn't mean to cut it off. It was an accident.""], ['Chandler', ""That's why for an entire year people called me Sir Limps-A-Lot?!""], ['Monica', ""I'm sorry! It wasn't your whole toe!""], ['Chandler', ""Yeah, well, I miss the tip! It's the best part. It has the nail. (He\nstorms out.)""], ['Monica', 'Chandler! (Follows him out.)']]",-1
Episode 508: The One With The Thanksgiving Flashbacks," Chandler, Joey, and Ross's, Chandler is sitting on one of the chairs and the
duck is running around him and quacking.","[['Chandler', ""I can't believe this.""], ['Monica', 'Chandler, I said I was sorry.'], ['Chandler', ""Yeah, well, sorry doesn’t bring back the little piggy that cried\nall the way home! I hate this stupid day! And everything about it! I'll see you\nlater.""], ['Monica', 'Oh wait, Chandler, come here is there anything I can do? Anything?'], ['Chandler', 'Yeah, just leave me alone for a while. (He goes into his apartment.)']]",0
Episode 508: The One With The Thanksgiving Flashbacks," Chandler, Joey, and Ross's, Chandler is sitting on one of the chairs and the
duck is running around him and quacking.","[['Chandler', 'Nice try.'], ['Monica', ""Wait, wait, wait! (She puts a Shriner's hat on the turkey.)""], ['Chandler', 'Look, Monica…'], ['Monica', 'Look! (She puts a big, yellow pair of sunglasses on the bird.)'], ['Chandler', 'This is not going to work.'], ['Monica', 'I bet this will work! (She starts dancing and Chandler cracks up.)'], ['Chandler', 'You are so great! I love you!']]",1
Episode 508: The One With The Thanksgiving Flashbacks," Chandler, Joey, and Ross's, Chandler is sitting on one of the chairs and the
duck is running around him and quacking.","[['Monica', 'What?'], ['Chandler', 'Nothing! I said, I said ""You\'re so great"" and then I just, I\njust stopped talking!'], ['Monica', ""You said you loved me! I can't believe this!""], ['Chandler', ""No I didn't!""], ['Monica', 'Yes, you did!'], ['Chandler', ""No I didn't!""], ['Monica', 'You love me!'], ['Chandler', ""No I don't! Stop it! Stop it! Stop it! Stop it!""]]",1
Episode 509: The One With Ross's Sandwich," Monica and Rachel's, the entire gang is there, eating breakfast. Phoebe is on
the couch, fidgeting.","[['Chandler', 'Yeah!'], ['Monica', 'Yeah!']]",0
Episode 509: The One With Ross's Sandwich," Monica and Rachel's, the entire gang is there, eating breakfast. Phoebe is on
the couch, fidgeting.","[['Chandler', 'Well, yeah actually.'], ['Monica', ""We'll try to be more careful okay? It's just that, we don't want\neveryone to know because this is going really well, and maybe the reason it's going really\nwell is because it's a secret.""], ['Chandler', ""I know it sounds really weird, but we're just so bad at relationships.""], ['Monica', 'We are! Help us!'], ['Chandler', 'Help!']]",0
Episode 509: The One With Ross's Sandwich," Central Perk, Joey, Chandler, Monica, and Rachel are there as Phoebe enters
with her nose stuck in a book.","[['Monica', 'Hey, Phoebe!'], ['Chandler', 'Hi, Pheebs!']]",0
Episode 509: The One With Ross's Sandwich," Chandler, Joey, and Ross's; continued from earlier. Joey is closing the door
after Rachel leaves and is about to confront Chandler and Monica.","[['Monica', ""We're so sorry.""], ['Chandler', 'Yeah.']]",0
Episode 509: The One With Ross's Sandwich," Central Perk, Chandler is on the couch as Monica joins him.","[['Chandler', 'Hey.'], ['Monica', ""Hey. Okay, so umm, since that video camera thing didn't work out uh, I\nthought that I would give you just a little preview. (Hands him a Polaroid.)""], ['Chandler', ""(gasps) You're naked in this picture!""], ['Monica', 'I know.']]",1
Episode 509: The One With Ross's Sandwich," Central Perk, Chandler is on the couch as Monica joins him.","[['Monica', ""Wait a minute, they're making you take time off work?""], ['Chandler', ""And you're okay with that?""]]",0
Episode 509: The One With Ross's Sandwich," Chandler, Joey, and Ross's; Joey returns carrying a bucket of chicken, and
starts going through the mail. While doing this, Monica's picture falls out. He bends over
to pick it up and gasps. While he's staring at the picture, Rachel decides to come over
and sees him looking at the picture.","[['Chandler', ""Well let's….let's see what everybody thinks of that?""], ['Monica', 'Oh no!']]",0
Episode 510: The One With The Inappropriate Sister," Central Perk, Monica, Rachel, Joey, and Chandler are listening to a story being
told by Danny and his sister.","[['Chandler', 'Okay, bye! (To the gang.) Oh my God!!'], ['Monica', 'That was unbelievable!']]",0
Episode 511: The One With All The Resolutions," Monica and Rachel's, Monica and Rachel are hosting a New Year's party. So the
place is crowded and in a shameless promotion for NBC they're watching Jay Leno's coverage
of New Year's from Time Square.","[['Chandler', '(To Monica) Happy New Year!'], ['Monica', 'Happy New Year.']]",0
Episode 511: The One With All The Resolutions," Monica and Rachel's, Phoebe is entering with Rachel.","[['Monica', 'I like them a lot.'], ['Chandler', ""That's not what I had in mind! See, people like Ross don't generally\nwear these types of pants. You see, they're very tight. (Motions to Ross's buttock.) Maybe\nthere's something in that area.""]]",0
Episode 511: The One With All The Resolutions," Monica and Rachel's, Phoebe is drilling Joey on the chords as Monica looks on.","[['Monica', ""(on phone) I can't wait to be with you! I'll sneak over as soon as Ross\npicks up Ben. I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.""], ['Chandler', '(on phone) Laundry. Huh. Is that my new nickname? (Rachel is\nabsolutely stunned, she opens her mouth in absolute amazement.)'], ['Monica', ""(on phone) Awww, y'know what your nickname is, Mr. Big…""]]",1
Episode 511: The One With All The Resolutions," Monica and Rachel's, Ross is returning from his horrible trek back home without
pants on. The whole gang is there.","[['Chandler', 'Oh my God!'], ['Monica', ""We heard about your pants, I'm so sorry.""]]",0
Episode 511: The One With All The Resolutions," Monica and Rachel's, Ross is returning from his horrible trek back home without
pants on. The whole gang is there.","[['Monica', ""Okay, now that everything's wrapped up here, I think I'm, I'm gonna go\ndo my laundry.""], ['Chandler', ""Oh yeah, me too. Y'know if this shirt is dirty. (Smells it.) Yep.""]]",0
Episode 512: The One With Chandler's Work Laugh," Chandler's office, Monica and him are at a party his office is throwing.","[['Monica', 'Look at us all dressed up for the big office party! By the way, what are we\ncelebrating?'], ['Chandler', 'Oh, we had a lot of liquor left over from the Christmas party.'], ['Monica', ""I think this is so cool because none of our friends are here and we can be a\nreal couple. We don't have to hide.""], ['Chandler', 'I know, I can do this. (He takes her hand.)'], ['Monica', 'Ooh, and I can do this. (She kisses him on the cheek.)']]",1
Episode 512: The One With Chandler's Work Laugh," Chandler's office, Monica and him are at a party his office is throwing.","[['Chandler', 'I asked myself that very question, sir. Uh, (Points to Monica) this is\nMonica. (Points to his boss.) This is my boss, Doug. Doug this is Monica.'], ['Monica', 'Hi, nice to meet you!']]",0
Episode 512: The One With Chandler's Work Laugh," Chandler's office, Monica and him are at a party his office is throwing.","[['Monica', 'What was that?'], ['Chandler', 'What?'], ['Monica', 'That noise you just made?'], ['Chandler', 'Oh, that was my work laugh.'], ['Monica', 'Really? Your work laugh?'], ['Chandler', ""Oh, believe me, to survive this party, you're gonna have to come up with one\ntoo.""], ['Monica', 'All right, check me out.'], ['Chandler', 'Okay.']]",0
Episode 512: The One With Chandler's Work Laugh," Central Perk, Monica is buying a muffin as Chandler runs in.","[['Chandler', 'Hey! Everybody at work loved you last night!'], ['Monica', 'Really?'], ['Chandler', ""And! They like me more just because I was with ya! I think you\nrepaired a lot of the damage from when they met Joey. And Doug wants us to play tennis\nwith them. He's never even talked to me outside of work. Except for that time when\nwe bumped into each other at that strip club. (She glares at him.) Strip church. Anyway,\nI'm gonna go try and find a racquet.""], ['Monica', 'Hey, I thought you already had one.'], ['Chandler', 'Oh I used too, but then Joey thought it would be fun to go to Central Park\nand hit rocks at…bigger rocks. (He starts to leave and stops an entering Rachel.) Hey\nRach, do you have a tennis racquet?']]",0
Episode 512: The One With Chandler's Work Laugh," A tennis court somewhere in the city of New York, it's the doubles match-up of
a century Chandler and Monica versus Doug and Kara.","[['Monica', 'Am I on fire today or what?! Those birds are browned, basted, and ready to be\ncarved!'], ['Chandler', 'Okay, easy Martina. I think we should let them win the next game.'], ['Monica', ""I'm sorry, I don't understand what you just said.""], ['Chandler', 'Let them win one.'], ['Monica', ""Are you crazy?! We own those two! I mean look at 'um, he can't breath and she's\npopping pills.""], ['Chandler', ""You're not even giving them a chance!""], ['Monica', ""They have racquets don't they?!""]]",-1
Episode 512: The One With Chandler's Work Laugh," A tennis court somewhere in the city of New York, it's the doubles match-up of
a century Chandler and Monica versus Doug and Kara.","[['Chandler', 'Oh yes, sir! Put me out of my misery. Are you sure you never played pro?\n(Does his work laugh.) (To Monica) Please let them win!'], ['Monica', ""I'll take it down to 95% but that's the best I can do.""]]",0
Episode 512: The One With Chandler's Work Laugh," A tennis court somewhere in the city of New York, it's the doubles match-up of
a century Chandler and Monica versus Doug and Kara.","[['Chandler', 'Oopsey, missed it!'], ['Monica', 'I got it! (She hits a forehand smash that bounces right in between Doug and\nKara and scores a point.)']]",0
Episode 512: The One With Chandler's Work Laugh," Chandler, Joey, and Ross's, the next morning the girls are there with Joey.","[['Monica', ""I can't believe you let them win!""], ['Chandler', 'Yeah, at least you hid your feelings well about it. (Removes a smashed\nracquet from his bag.)'], ['Monica', 'I was frustrated.'], ['Chandler', 'It was my racquet.'], ['Monica', 'I was frustrated with you!'], ['Chandler', ""If we hadn't lost the game they never would've invented us to dinner tomorrow\nnight.""], ['Monica', 'Y\'know what really bothers me? Is—it\'s how-how different you act around\nthem! I mean y\'know the throwing the tennis games, the fake laugh, the ""I\'ll see you\naround, Bing!"" ""Not if I see you first, Doug!"" (Mocks the fake laugh.) I\ngotta tell you, I don\'t like Work Chandler. Okay? The guy\'s a suck-up.'], ['Chandler', ""Okay y'know what, because you said that, I'm not putting out tonight.""]]",-1
Episode 512: The One With Chandler's Work Laugh," Doug's house, Chandler, Monica, and them are just finishing dinner.","[['Monica', 'Oh, none for me. Thanks.'], ['Chandler', 'Just a little bit of sugar.']]",0
Episode 512: The One With Chandler's Work Laugh," Doug's house, Chandler, Monica, and them are just finishing dinner.","[['Monica', '(To Chandler) How does that laugh not give you a headache?'], ['Chandler', 'Oh, you get used to it.'], ['Monica', ""Y'know, I-I-I don't think that I can. So if you don't mind, maybe this will be\nit for me on the work things.""], ['Chandler', ""So I laugh at my boss's jokes, what's the big deal?""], ['Monica', ""I'd rather hang out with a sniveling work weasel guy when I can be hanging out\nwith my boyfriend who I actually respect.""], ['Chandler', 'Oh. (Does a double take when he realizes what she just said.)']]",0
Episode 512: The One With Chandler's Work Laugh," Monica and Rachel's, Rachel is going through the mail as Joey enters.","[['Chandler', 'Well, I just…'], ['Monica', ""(interrupting) Honey, I just don't think that you understood the joke.""], ['Chandler', 'Really?'], ['Monica', ""Yeah! I mean it was really funny, I-I just don't think you got it. You see\nKara's coffee is-is-is weak tasting, okay? But-but what Doug was-was imply that it was\nweak physically. You get it now honey?""], ['Chandler', 'I think I do! (They all laugh.) Thank you, Monica.'], ['Monica', 'I thought you could use the help.'], ['Chandler', 'Coffee in a fight! (Does the laugh again.)']]",1
Episode 512: The One With Chandler's Work Laugh," Monica and Rachel's, Rachel is going through the mail as Joey enters.","[['Chandler', ""(from his bedroom) All right, so you're telling me that I have to tell racist\njokes now?!""], ['Monica', ""Sorry! I'm just—I'm not very good at this! I'm a terrible liar and I hate\nhaving to lie to Rachel!""], ['Chandler', ""But we're not ready to tell yet!""], ['Monica', ""I know! It's just that…ever since high school Rachel was the one person I\ntold everything too. Y'know? I miss that so much now. She's my best friend.""]]",0
Episode 513: The One With Joey's Bag," Chandler's bedroom, he is giving Monica a massage.","[['Chandler', ""Oh! Look at that, time's up! My turn!""], ['Monica', 'That was a half an hour?'], ['Chandler', ""It's your timer.""]]",0
Episode 513: The One With Joey's Bag," Chandler's bedroom, he is giving Monica a massage.","[['Monica', ""Y'know, I don't like to brag about it, but I give the best\nmassages!""], ['Chandler', 'All right, then massage me up right nice!']]",0
Episode 513: The One With Joey's Bag," Chandler's bedroom, he is giving Monica a massage.","[['Chandler', 'Ah! Ahh!! Ahh!!'], ['Monica', ""It's so good, isn't it?""], ['Chandler', ""It's so good I don't know what I've done to deserve it!""], ['Monica', 'Say good-bye to sore muscles!'], ['Chandler', 'Good-bye muscles!!']]",1
Episode 513: The One With Joey's Bag," Monica and Rachel's, after the funeral, everyone is there.","[['Monica', ""No he's not!""], ['Chandler', '(wincing) Yes, he is!'], ['Monica', 'What?!'], ['Chandler', ""I'm sorry but, ow-owww-owww!""], ['Monica', ""You've been lying to me? I can't believe you'd do that.""]]",-1
Episode 513: The One With Joey's Bag," Central Perk, Frank Sr. is just arriving.","[['Chandler', 'Hey, is Rachel here?'], ['Monica', 'No.'], ['Chandler', ""(coming all the way in) Listen, I just wanted to apologize about this\nafternoon and the whole massage thing. Y'know? I-I really like 'em.""], ['Monica', 'Oh, please, stop! Look, we\'re supposed to be honest with each other. I-I\njust wish you could tell me—just say, ""I don\'t like your massages.""'], ['Chandler', ""(falling into that trap) I don't like your massages.""], ['Monica', ""(starting to cry) See? It's no big deal.""], ['Chandler', ""Okay, but now see you're crying!""], ['Monica', ""I'm not crying about that! I'm crying about something that happened at\nwork.""], ['Chandler', 'What?'], ['Monica', ""(bursting into tears) My boyfriend said he didn't like my massages.""], ['Chandler', ""It's okay, you don't have to be the best at everything.""], ['Monica', ""Oh my God! You don't know me at all!""], ['Chandler', 'Okay, you give the worst massages in the world.'], ['Monica', ""I'm crying here!!""], ['Chandler', 'Okay, hear me out. Okay? You give the best bad massages. If\nanybody was looking for the best bad massage and they were thinking to themselves,\n""Who\'s the best of that?"" They\'d have to go to you.'], ['Monica', ""Huh. So you're saying like umm, if there was an award for the best bad\nmassage, well who would get that?""], ['Chandler', ""Oh, it would be you! You! Monica! And you'd get all the votes!""], ['Monica', 'So maybe they could umm, call the award the Monica?'], ['Chandler', 'Absolutely!'], ['Monica', 'Okay. I suck!'], ['Chandler', 'Yeah! (They hug.)']]",1
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Monica, Rachel, Phoebe, and Chandler are there. Monica is
entering from her room.","[['Monica', 'You are so cute! How did you get to be so cute?'], ['Chandler', 'Well, my Grandfather was Swedish and my Grandmother was actually a\ntiny little bunny.'], ['Monica', ""Okay, now you're even cuter!!""], ['Chandler', ""Y'know that is a popular opinion today I must say.""], ['Monica', 'What?'], ['Chandler', 'The weirdest thing happened at the coffee house, I think, I think\nPhoebe was hitting on me.'], ['Monica', 'What are you talking about?'], ['Chandler', ""I'm telling you I think Phoebe thinks I'm foxy.""], ['Monica', ""That's not possible!""], ['Chandler', 'Ow!'], ['Monica', ""I'm sorry it's just, Phoebe just always thought you were, you were\ncharming in a, in a sexless kind of way.""], ['Chandler', ""Oh, y'know I-I can't hear that enough.""], ['Monica', ""I'm sorry, I think that you just misunderstood her.""], ['Chandler', ""No, I didn't misunderstand, okay? She was all over me! She touched my\nbicep for crying out loud!""], ['Monica', 'This bicep?'], ['Chandler', ""Well it's not flexed right now!""]]",1
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Monica, Rachel, Phoebe, and Chandler are there. Monica is
entering from her room.","[['Monica', 'Hey Chandler, wanna do it with me?'], ['Chandler', ""Sure, I'll do it with ya.""], ['Monica', 'Okay.']]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Monica, Rachel, Phoebe, and Chandler are there. Monica is
entering from her room.","[['Chandler', ""(after they've left) Okay, did you see that?! With the inappropriate\nand the pinching!!""], ['Monica', 'Actually, I did!'], ['Chandler', ""Okay, so now do you believe that she's attracted to me?""], ['Monica', 'Ohhh, oh my God! Oh my God! She knows about us!'], ['Chandler', 'Are you serious?'], ['Monica', ""Phoebe knows and she's just trying to freak us out! That's the only\nexplanation for it!""], ['Chandler', ""(a little hurt) Okay but what about y'know my pinchable butt and my\nbulging biceps—She knows!""]]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Ross is looking at Ugly Naked Guy's apartment through
binoculars.","[['Monica', ""Oh man, they think they are so slick messing with us! But see\nthey don't know that we know that they know! So…""], ['Chandler', 'Ahh yes, the messers become the messies!']]",0
Episode 514: The One Where Everyone Finds Out," Outside Ugly Naked Guy's apartment, Ross is knocks on the door and Ugly Naked
Guy answers it. He's ugly. He's naked. And he's holding a huge jumbo soda.","[['Monica', ""(in the kitchen with Chandler) Look at them, they're-they're panicked!""], ['Chandler', ""Oh yeah, they're totally gonna back down!""], ['Monica', 'Oh yeah!']]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Rachel is getting Phoebe ready for her date.","[['Monica', ""All right, it'll be great! You just make her think you wanna have sex\nwith her! It'll totally freak her out!""], ['Chandler', 'Okay, listen, how far am I gonna have to go with her?'], ['Monica', ""Relax, she-she's gonna give in way before you do!""], ['Chandler', 'How do you know?!'], ['Monica', ""Because you're on my team! And my team always wins!""], ['Chandler', 'At this?!'], ['Monica', 'Just go get some! (Kisses him.) Go! (She runs to hide in the bathroom.)']]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Rachel is getting Phoebe ready for her date.","[['Chandler', 'Listen, this is totally getting out of hand! Okay? She wants me to put\nlotion on her!'], ['Monica', ""She's bluffing!""], ['Chandler', ""Look, she's not backing down! She went like this! (He does a little\nmimic of her dance.)""]]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Rachel is getting Phoebe ready for her date.","[['Monica', 'You go back out there and you seduce her till she cracks!'], ['Chandler', 'Okay, give me a second! (Pause) Did you clean up in here?'], ['Monica', 'Of course.']]",0
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Rachel is getting Phoebe ready for her date.","[['Chandler', ""Love her! That's right, I…LOVE…HER!!! I love her!! (They\nwalk together and hug.) I love you, Monica.""], ['Monica', 'I love you too Chandler. (They kiss.)']]",1
Episode 514: The One Where Everyone Finds Out," Monica and Rachel's, Rachel is getting Phoebe ready for her date.","[['Monica', ""Well actually, Ross doesn't.""], ['Chandler', ""Yes, and we'd appreciate it if no one told him yet.""]]",0
Episode 515: The One With The Girl Who Hits Joey," The hallway, Ross is running up the stairs. Note: This show continues where the
last one left off.","[['Chandler', ""(To Monica) Wow! Listen, we had a good run. What was it? Four? Five\nmonths? I mean, that's more than most people have in a lifetime! So, good-bye, take care,\nbye-bye then! (He kisses her and starts to climb out the balcony window.)""], ['Monica', 'What are you doing?!'], ['Chandler', ""Oh, I'm going on the lamb.""], ['Monica', ""Come on Chandler, come on, I can handle Ross. (They go to the door. Ross\nis trying to stick his hand through and undo the chain; Monica pushes his hand back.) (To\nRoss) Hold on! (She opens the door.) Hey Ross. What's up bro?""]]",0
Episode 515: The One With The Girl Who Hits Joey," The hallway, Ross is running up the stairs. Note: This show continues where the
last one left off.","[['Chandler', ""Look, we're not just messing around! I love her. Okay, I'm in love\nwith her.""], ['Monica', ""I'm so sorry that you had to find out this way. I'm sorry, but it's\ntrue, I love him too.""]]",1
Episode 515: The One With The Girl Who Hits Joey," Central Perk, everyone is there.","[['Monica', ""Guys, you're a few steps ahead of us.""], ['Chandler', 'Yeah, big zero gravity moon steps.']]",0
Episode 515: The One With The Girl Who Hits Joey," Central Perk, everyone is there.","[['Monica', 'I know what you need, you need a bodyguard. Hey Ross, what is Ben doing\nafter preschool?'], ['Chandler', 'Hey listen, come on, Joey is having a problem! A little girl is\nbeating him up.']]",0
Episode 515: The One With The Girl Who Hits Joey," Chandler and Joey's, Chandler and Monica are curled up on one of the chairs.","[['Monica', ""Isn't this great?""], ['Chandler', 'Hmm.'], ['Monica', ""Couldn't you just stay like this forever? (His eyes snap open.)\nChandler! Couldn't you just stay here forever?""], ['Chandler', ""Yeah, here, somewhere else, y'know where-where ever. (Gets up.)""], ['Monica', 'Are you okay?'], ['Chandler', ""Yeah, I'm cool. Casual.""], ['Monica', 'What-what are you doing?'], ['Chandler', ""I'm just hanging out. Y'know, having fun. Y'know with the girl that\nI'm seeing casually.""], ['Monica', 'Man, I knew it! I knew you were going to do this!!'], ['Chandler', 'What?!'], ['Monica', 'Get all freaked out because everybody was talking and just joking around\nabout marriage and stuff.'], ['Chandler', 'Well, you do want all that stuff, right?'], ['Monica', 'Oh and you know what I want!'], ['Chandler', 'Yes! You want babies! You have baby fever!'], ['Monica', 'I do not have baby fever!'], ['Chandler', ""Oh please, you are obsessed with babies and-and marriage and\neverything that's related to babies and-and marriage! I've got an idea, why don't we turn\ndown the heat on this pressure cooker?!""], ['Monica', ""Have you lost your mind? Chandler, this isn't about me! This is about\nyou and all your weird relationship commitment crap!""], ['Chandler', 'Nah-uh! I know you! Okay? I know the thoughts that you have in the\nhead--in your head!'], ['Monica', ""You don't know everything. Did you know that I'm going out with Rachel\ntonight instead of you? Hmm? And did you know that the only baby around here is you?! And\ndid you know that I can't even look at you right now?! (She storms out.)""], ['Chandler', 'Well, I did not know that.']]",-1
Episode 515: The One With The Girl Who Hits Joey," Central Perk, Chandler is getting advice from Ross and Joey.","[['Monica', 'Gunther, can I get a coffee (Looks at Chandler) to go?'], ['Chandler', 'Monica. (Goes to talk to her.)'], ['Monica', ""I'm still not done not wanting to talk to you.""], ['Chandler', 'Just tell me what I need to do to make things right.'], ['Monica', 'What?!'], ['Chandler', ""Well, that's what we do. Y'know, I-I mess up and then you tell me how\nto fix it and then I do and then y'know you think I'm all cute again.""], ['Monica', ""Really? I'm really tired of being your relationship tutor. You're gonna\nhave to figure this one for yourself. All right? Y'know what? If you're too afraid to be\nin a real relationship, then don't be in one. (She walks out.)""]]",-1
Episode 515: The One With The Girl Who Hits Joey," Monica and Rachel's, Chandler comes running in. Everyone else is already
there.","[['Chandler', ""Where's Monica?! Where is she? I need to talk to her! It's urgent! Is\nshe here?""], ['Monica', ""(raising her hand) I'm Monica.""], ['Chandler', ""I need to talk to you, it's urgent!""], ['Monica', 'Okay.'], ['Chandler', ""Okay, I've been doing a lot of thinking about us, y'know a lot of uhh,\nus thinking. And uh, well I guess there's only one-one way to do this. (He slowly and\nawkwardly gets down on one knee.)""], ['Monica', 'Wait what-wh-wh-what are you doing?!'], ['Chandler', '(getting out a ring box) Monica…'], ['Monica', ""No-no, don't-don't-don't do it!""], ['Chandler', 'Will you marry me?']]",1
Episode 515: The One With The Girl Who Hits Joey," Monica and Rachel's, Chandler comes running in. Everyone else is already
there.","[['Monica', 'Chandler, why are you doing this?'], ['Chandler', ""I don't know. But I know I'm not afraid to do this.""], ['Monica', 'Chandler.'], ['Chandler', ""I'm doing this because I'm sorry?""], ['Monica', ""Do you umm, you really think the best reason to get married is because\nyou're sorry?""], ['Chandler', ""No, the best reason to get married is pregnancy. Sorry is pretty much\nfourth y'know, behind being ready and actually wanting to get married. (Laughs.)\nWill you be my wife?""], ['Monica', '(kneels with him) Chandler, umm, I want you to take just a minute and I\nwant you to think about how ridiculous this sounds.'], ['Chandler', ""Yeah, I'm kinda wishing everyone wasn't here right now.""], ['Monica', 'Honey! Do you know that none of that stuff came from me?! I mean I never\nsaid I wanted to have babies and get married right now!'], ['Chandler', 'Yeah I know, but I was really confused and then I talked to these\nguys. (Turns to look at Ross and Joey.)'], ['Monica', 'Who? Two divorces and Joey?!']]",0
Episode 515: The One With The Girl Who Hits Joey," Monica and Rachel's, Chandler comes running in. Everyone else is already
there.","[['Monica', ""Y'know what? Y'know when I said that I want you to deal with this\nrelationship stuff all on your own? Well, you're not ready for that.""], ['Chandler', ""I didn't think I was!""]]",1
Episode 515: The One With The Girl Who Hits Joey," Monica and Rachel's, Chandler comes running in. Everyone else is already
there.","[['Monica', 'Oh my God, what would have done if I said yes?'], ['Chandler', ""Well I would've been happy because I would've be able to spend the\nrest of my life with the woman that I love. Or, you would've seen a Chandler shaped hole\nin that door. (Points at the door.)""]]",1
Episode 515: The One With The Girl Who Hits Joey," Central Perk, Everyone is there.","[['Chandler', 'Okay, how long is this going to go on.'], ['Monica', 'Well I think the length of teasing is directly related to how insane you\nwere so, a long time.']]",0
Episode 516: The One With A Cop," Chandler and Joey's, Monica and Chandler are sitting on one of the chairs doing
a crossword puzzle.","[['Chandler', 'Hey!'], ['Monica', 'Hey!']]",0
Episode 516: The One With A Cop," Chandler and Joey's, Monica and Chandler are sitting on one of the chairs doing
a crossword puzzle.","[['Chandler', ""Yeah, I think that's wrong, but there's a Connect the Dots in here for\nyou later. (To Monica) Hey, how about maroon?""], ['Monica', '(checks to see if it works) Yes, you are so smart! (Kisses him.)']]",1
Episode 516: The One With A Cop," Central Perk, everyone is there but Ross and Joey. Gunther hands them the bill,
and Chandler gives some money to pay it.","[['Monica', 'Wow!'], ['Chandler', ""Oh that's so cool! Why would a cop come in here though? They don't\nserve donuts. (No one laughs.) Y'know what actually, could you discover the badge again? I\nthink I can come up with something better than that.""]]",0
Episode 516: The One With A Cop," A couch store, Ross is trying to decide on a new couch for his place. He has
dragged Rachel along for the trip, and she's not too happy about it. Ross is sitting on it
in different ways to see how it feels. He tries to just sit on it normally, and then he
tries flopping on it. One thing about this couch, it's huge. It's like twice the size of a
normal full size couch. Whoever designed this thing, needs help and fast.","[['Monica', ""What's with him?""], ['Chandler', ""Oh, y'know what? The last time Joey went to a meadow, his mother was\nshot by a hunter.""]]",0
Episode 516: The One With A Cop," Chandler and Joey's, Phoebe is telling Chandler and Monica how she fought crime
in her own way with the badge she found.","[['Monica', 'No!'], ['Chandler', ""No, it can mean anything. Like uh, all of the sudden you're jealous\nbecause I've become the apartment stud.""]]",0
Episode 516: The One With A Cop," Chandler and Joey's, Phoebe is telling Chandler and Monica how she fought crime
in her own way with the badge she found.","[['Monica', 'Um-hmm.'], ['Chandler', 'Joey, look, are you attracted to Monica? Right here, right now, are\nyou attracted to her?']]",0
